Voltage (V),Current (A),Power (W)
0.0,5.162344795630308,0.0
0.4443434343434344,5.160567847597413,2.2930644405637395
0.8886868686868687,5.158790899511832,4.584549730697485
1.333030303030303,5.157013951359287,6.874455870311971
1.7773737373737375,5.155237003121629,9.162782859285675
2.221717171717172,5.1534600547757865,11.449530697453882
2.666060606060606,5.151683106292441,13.73469938459421
3.1104040404040405,5.149906157634322,16.018288920407443
3.554747474747475,5.148129208754058,18.300299304492206
3.9990909090909095,5.146352259591442,20.580730536311595
4.443434343434344,5.1445753100699445,22.85958261514918
4.887777777777778,5.1427983600922955,25.136855540051123
5.332121212121212,5.14102140953486,27.41254930975012
5.776464646464647,5.139244458240493,29.686663922565568
6.220808080808081,5.13746750600946,31.959199376272586
6.665151515151516,5.1356905525878895,34.2301556679305
7.10949494949495,5.133913597653098,36.49953279365815
7.553838383838384,5.132136640794946,38.76733074834025
7.998181818181819,5.130359681492132,41.033549525243444
8.442525252525254,5.128582719082057,43.298189115514894
8.886868686868688,5.126805752722536,45.56124950752816
9.331212121212122,5.125028781343121,47.82273068602992
9.775555555555556,5.12325180358323,50.08263263102807
10.21989898989899,5.121474817713511,52.340955316343425
10.664242424242424,5.119697821535893,54.59769870772459
11.10858585858586,5.117920812256546,56.852862760395325
11.552929292929294,5.116143786324404,59.1064474158654
11.997272727272728,5.11436673922593,61.358452597786
12.441616161616162,5.112589665224246,63.60887820656574
12.885959595959596,5.1108125570275655,65.85772411238015
13.330303030303032,5.109035405367754,68.10499014609925
13.774646464646466,5.107258198464661,70.35067608751791
14.2189898989899,5.105480921345277,72.59478165009415
14.663333333333334,5.103703554978348,74.83730646116585
15.107676767676768,5.101926075174442,77.07825003631724
15.552020202020204,5.1001484511879,79.31761174617628
15.996363636363638,5.098370643939859,81.55539077342343
16.44070707070707,5.0965926037596665,83.79158605714491
16.885050505050508,5.0948142675141455,86.02619622082825
17.329393939393942,5.093035554958796,88.25921947922082
17.773737373737376,5.091256364100086,90.49065351788396
18.21808080808081,5.089476565300805,92.72049533748363
18.662424242424244,5.087695993787843,94.94874105255096
19.106767676767678,5.085914440129471,97.17538563147177
19.551111111111112,5.08413163813186,99.40042256063136
19.995454545454546,5.0823472494555295,101.62384341070398
20.43979797979798,5.080560844062984,103.8456372767193
20.884141414141414,5.078771875368026,106.06579005535005
21.328484848484848,5.076979648651435,108.28428351232807
21.772828282828286,5.075183280919028,110.50109407933105
22.21717171717172,5.073381649884505,112.71619130223202
22.661515151515154,5.071573329132399,114.92953584015402
23.105858585858588,5.069756505720139,117.1410768859061
23.550202020202022,5.067928875467295,119.35074884127006
23.994545454545456,5.066087509896527,121.55846703291722
24.43888888888889,5.064228687162987,123.76412219349989
24.883232323232324,5.062347677243711,125.96757335383079
25.327575757575758,5.060438469041827,128.16863869120758
25.771919191919192,5.05849342374629,130.36708374964402
26.21626262626263,5.056502834595181,132.56260628218868
26.660606060606064,5.054454367893356,134.75481675371438
27.104949494949498,5.052332353453036,136.9432132720439
27.549292929292932,5.050116884215156,139.12714937041144
27.993636363636366,5.047782674251062,141.30579262564814
28.4379797979798,5.045297611137577,143.47807154032614
28.882323232323234,5.042620922254483,145.64260741462985
29.326666666666668,5.039700854202091,147.7976270509
29.771010101010102,5.036471739548501,149.94085103155035
30.215353535353536,5.032850294760591,152.0693509466995
30.65969696969697,5.0287309568269665,154.1793672784491
31.104040404040408,5.023980023433261,156.26607763796005
31.54838383838384,5.018428312943409,158.32330268215173
31.992727272727276,5.01186200743894,160.34313433253746
32.43707070707071,5.004011288347463,162.31546797910664
32.88141414141414,4.994536326885558,164.2274174086614
33.32575757575758,4.983010163186589,166.06258869589246
33.770101010101016,4.968898019145203,167.80018801542437
34.214444444444446,4.951532672497127,169.41393953800448
34.658787878787884,4.930085719785363,170.87079518628218
35.103131313131314,4.903534936352327,172.12943076930273
35.54747474747475,4.870628578948146,173.13854641448808
35.99181818181818,4.829848449368455,173.8350272354059
36.43616161616162,4.779374896704012,174.14207616053312
36.88050505050505,4.71705865054803,173.96750538506518
37.32484848484849,4.6404062541781865,173.20246034534412
37.76919191919192,4.5465874576003324,171.7209342634978
38.213535353535356,4.4324734854838495,169.38048224114516
38.65787878787879,4.294713651846087,166.02451978171433
39.102222222222224,4.129853506576457,161.48644955937633
39.54656565656566,3.934490419511705,155.59558370034821
39.99090909090909,3.705453388499163,148.18444960007108
40.43525252525253,3.4399855070181147,139.09668265948633
40.87959595959596,3.135903250564325,128.19445785145322
41.3239393939394,2.791708951162211,115.36441150334534
41.76828282828283,2.406641503249782,100.52128297402064
42.212626262626266,1.9806627101754073,83.60897473695492
42.656969696969696,1.5143885405601725,64.59922608411344
43.101313131313134,1.0089823915854919,43.488466003707494
43.54565656565657,0.46602985852456025,20.29357616865202
43.99,-0.1125877097675867,-4.952733352676139
